entropy,file_length,max_line_length,nb_lines,eval_count,exec_count,obfuscation_count,fs_count,network_input_count,special_char_ratio,avg_var_length,long_vars_count,whitespace_ratio,label
4.08,47,46,2,0,0,0,0,3,0.6382978723404256,5.0,0,0.0425531914893617,1
6.104,1389,88,17,0,0,0,0,0,0.38660907127429806,7.711111111111111,15,0.08063354931605471,1
4.934,107183,1002,2020,9,9,2,8,294,0.27952193911347883,5.268656716417911,53,0.27657371038317646,1
5.269,6629,387,217,0,0,0,2,12,0.19505204404887616,8.93125,52,0.1737818675516669,1
6.136,1529,85,19,0,0,0,0,0,0.41399607586657944,6.8,4,0.07390451275343361,1
5.524,134395,134394,2,1,0,0,0,0,0.005506157223110979,10.0,0,0.00011161129506306038,1
5.356,43533,570,1455,1,11,0,8,65,0.2619162474444674,6.009933774834437,47,0.2229343256839639,1
5.596,26361,484,645,2,1,0,6,230,0.32494973635294566,5.002967359050445,0,0.08618792913774136,1
5.631,415,60,13,6,0,0,0,12,0.4674698795180723,6.357142857142857,0,0.0819277108433735,1
5.648,5733,2305,92,0,0,0,1,4,0.22169893598465026,6.181818181818182,6,0.09000523286237572,1
4.484,25,25,1,1,0,0,0,1,0.4,6.0,0,0.04,1
5.853,3195,228,74,0,0,3,1,4,0.3411580594679186,5.033057851239669,3,0.07511737089201878,1
5.23,1469,104,19,0,0,0,0,0,0.5119128658951668,2.134453781512605,0,0.013614703880190605,1
5.351,17511,359,646,0,6,0,2,13,0.20444292159214209,6.25503355704698,4,0.18262806236080179,1
5.264,14162,492,553,1,5,0,4,69,0.25985030362943085,5.641025641025641,13,0.18888575060019772,1
5.443,589,53,30,1,0,0,0,1,0.30390492359932086,4.161290322580645,0,0.16468590831918506,1
5.388,11627,162,378,0,3,0,2,19,0.2820159972477853,5.6503067484662575,4,0.1659929474499011,1
5.07,1325,103,34,0,8,0,0,2,0.25358490566037734,6.0,0,0.07547169811320754,1
5.706,153269,3600,2931,3,15,13,12,16,0.27295800194429404,5.770839301059868,381,0.11451108834793729,1
5.195,1449,121,17,0,0,0,0,0,0.5093167701863354,2.146551724137931,0,0.012422360248447204,1
5.648,272,106,15,1,0,0,0,4,0.3161764705882353,6.0,0,0.08455882352941177,1
5.684,166907,91,2040,1,0,0,0,0,0.00032952482520205863,9.0,0,0.012366167985764528,1
5.243,2590,224,61,0,0,0,0,16,0.41081081081081083,6.857142857142857,0,0.0891891891891892,1
5.085,10828,548,258,1,4,0,0,29,0.34706316956039895,6.426229508196721,11,0.268378278537126,1
4.665,51,35,2,1,0,0,0,1,0.29411764705882354,6.0,0,0.09803921568627451,1
5.326,41249,1925,749,16,5,1,5,69,0.26136391185240854,6.612431444241317,9,0.16189483381415307,1
5.696,63664,2932,1266,1,10,6,19,263,0.2625031414928374,6.069559228650138,83,0.07940123146519226,1
5.801,34089,1047,1034,0,7,1,7,48,0.2636921000909384,5.756382978723404,36,0.09645340139047787,1
5.406,295,55,11,1,0,0,0,1,0.2576271186440678,6.0,0,0.1016949152542373,1
5.657,57692,705,1626,4,8,5,11,177,0.30806697635720726,6.1193111931119315,98,0.15622616653955487,1
5.842,1379,95,16,0,0,0,0,0,0.36765772298767224,6.788461538461538,7,0.15010877447425672,1
